 -------------------------------------------------------------------------------------------------------------------------------------------------
|        Name       |     PdgID    |   Q  |     Mass    |  (c*)Tau/Gamma |  MaxWidth  |        EvtGen        |  PythiaID  |     Antiparticle     |
| anti-c-hadron     |          -84 | -2/3 |       2 GeV |        100 um  |      0     |     anti-c-hadron    |     -84    |       c-hadron       |
| c-hadron          |           84 | +2/3 |       2 GeV |        100 um  |      0     |       c-hadron       |     84     |     anti-c-hadron    |
| anti-b-hadron     |          -85 | +1/3 |       5 GeV |        387 um  |      0     |     anti-b-hadron    |     -85    |       b-hadron       |
| b-hadron          |           85 | -1/3 |       5 GeV |        387 um  |      0     |       b-hadron       |     85     |     anti-b-hadron    |
| anti-t-hadron     |          -86 | -2/3 |     175 GeV |          0 ns  |      0     |     anti-t-hadron    |      0     |       t-hadron       |
| t-hadron          |           86 | +2/3 |     175 GeV |          0 ns  |      0     |       t-hadron       |      0     |     anti-t-hadron    |
| anti-b'-hadron    |          -87 | +1/3 |     400 GeV |          0 ns  |      0     |    anti-b'-hadron    |      0     |       b'-hadron      |
| b'-hadron         |           87 | -1/3 |     400 GeV |          0 ns  |      0     |       b'-hadron      |      0     |    anti-b'-hadron    |
| junction          |           88 |   0  |       0 eV  |          0 ns  |      0     |       junction       |     88     |        self-cc       |
| system            |           90 |   0  |       0 eV  |          0 ns  |      0     |        system        |     90     |        self-cc       |
| cluster           |           91 |   0  |       0 eV  |          0 ns  |      0     |        cluster       |     91     |        self-cc       |
| string            |           92 |   0  |       0 eV  |          0 ns  |      0     |        string        |     92     |        self-cc       |
| indep             |           93 |   0  |       0 eV  |          0 ns  |      0     |         indep        |     93     |        self-cc       |
| CMshower          |           94 |   0  |       0 eV  |          0 ns  |      0     |       CMshower       |     94     |        self-cc       |
| SPHEaxis          |           95 |   0  |       0 eV  |          0 ns  |      0     |       SPHEaxis       |     95     |        self-cc       |
| THRUaxis          |           96 |   0  |       0 eV  |          0 ns  |      0     |       THRUaxis       |     96     |        self-cc       |
| CLUSjet           |           97 |   0  |       0 eV  |          0 ns  |      0     |        CLUSjet       |     97     |        self-cc       |
| CELLjet           |           98 |   0  |       0 eV  |          0 ns  |      0     |        CELLjet       |     98     |        self-cc       |
| table             |           99 |   0  |       0 eV  |          0 ns  |      0     |         table        |     99     |        self-cc       |
| pi0               |          111 |   0  |     135 MeV |      7.725 eV  |      0     |          pi0         |     111    |        self-cc       |
| rho(770)0         |          113 |   0  |   775.3 MeV |      149.1 MeV |      0     |         rho0         |     113    |        self-cc       |
| a_2(1320)0        |          115 |   0  |   1.318 GeV |        107 MeV |      0     |         a_20         |     115    |        self-cc       |
| rho_3(1690)0      |          117 |   0  |   1.689 GeV |        161 MeV |      0     |        unknown       |      0     |        self-cc       |
| a_4(2040)0        |          119 |   0  |   1.996 GeV |        255 MeV |      0     |        unknown       |      0     |        self-cc       |
| KL0               |          130 |   0  |   497.6 MeV |      15.34 m   |      0     |         K_L0         |     130    |        self-cc       |
| B0L               |          150 |   0  |    5.28 GeV |      455.4 um  |      0     |          B0L         |      0     |        self-cc       |
| pi-               |         -211 |  -1  |   139.6 MeV |      7.804 m   |      0     |          pi-         |    -211    |          pi+         |
| pi+               |          211 |   1  |   139.6 MeV |      7.804 m   |      0     |          pi+         |     211    |          pi-         |
| rho(770)-         |         -213 |  -1  |   775.3 MeV |      149.1 MeV |      0     |         rho-         |    -213    |       rho(770)+      |
