 -------------------------------------------------------------------------------------------------------------------------------------------------
|        Name       |     PdgID    |   Q  |     Mass    |  (c*)Tau/Gamma |  MaxWidth  |        EvtGen        |  PythiaID  |     Antiparticle     |
| anti-sd_0         |        -3101 | +2/3 |       0 eV  |          0 ns  |      0     |       anti-sd_0      |    -3101   |         sd_0         |
| sd_0              |         3101 | -2/3 |       0 eV  |          0 ns  |      0     |         sd_0         |    3101    |       anti-sd_0      |
| anti-sd_1         |        -3103 | +2/3 |       0 eV  |          0 ns  |      0     |       anti-sd_1      |    -3103   |         sd_1         |
| sd_1              |         3103 | -2/3 |       0 eV  |          0 ns  |      0     |         sd_1         |    3103    |       anti-sd_1      |
| Sigma~+           |        -3112 |   1  |   1.197 GeV |      4.434 cm  |      0     |      anti-Sigma+     |    -3112   |        Sigma-        |
| Sigma-            |         3112 |  -1  |   1.197 GeV |      4.434 cm  |      0     |        Sigma-        |    3112    |        Sigma~+       |
| Sigma*~+          |        -3114 |   1  |   1.387 GeV |       39.4 MeV |      0     |     anti-Sigma*+     |    -3114   |        Sigma*-       |
| Sigma*-           |         3114 |  -1  |   1.387 GeV |       39.4 MeV |      0     |        Sigma*-       |    3114    |       Sigma*~+       |
| Sigma(1775)~+     |        -3116 |   1  |   1.775 GeV |        120 MeV |      0     |        unknown       |      0     |     Sigma(1775)-     |
| Sigma(1775)-      |         3116 |  -1  |   1.775 GeV |        120 MeV |      0     |        unknown       |      0     |     Sigma(1775)~+    |
| Sigma(2030)~+     |        -3118 |   1  |    2.03 GeV |        180 MeV |      0     |        unknown       |      0     |     Sigma(2030)-     |
| Sigma(2030)-      |         3118 |  -1  |    2.03 GeV |        180 MeV |      0     |        unknown       |      0     |     Sigma(2030)~+    |
| Lambda~0          |        -3122 |   0  |   1.116 GeV |      7.891 cm  |      0     |     anti-Lambda0     |    -3122   |        Lambda0       |
| Lambda0           |         3122 |   0  |   1.116 GeV |      7.891 cm  |      0     |        Lambda0       |    3122    |       Lambda~0       |
| Lambda(1520)~0    |        -3124 |   0  |    1.52 GeV |       15.6 MeV |      0     |  anti-Lambda(1520)0  |      0     |     Lambda(1520)0    |
| Lambda(1520)0     |         3124 |   0  |    1.52 GeV |       15.6 MeV |      0     |     Lambda(1520)0    |      0     |    Lambda(1520)~0    |
| Lambda(1820)~0    |        -3126 |   0  |    1.82 GeV |         80 MeV |      0     |  anti-Lambda(1820)0  |      0     |     Lambda(1820)0    |
| Lambda(1820)0     |         3126 |   0  |    1.82 GeV |         80 MeV |      0     |     Lambda(1820)0    |      0     |    Lambda(1820)~0    |
| Lambda(2100)~0    |        -3128 |   0  |     2.1 GeV |        200 MeV |      0     |        unknown       |      0     |     Lambda(2100)0    |
| Lambda(2100)0     |         3128 |   0  |     2.1 GeV |        200 MeV |      0     |        unknown       |      0     |    Lambda(2100)~0    |
| anti-su_0         |        -3201 | -1/3 |       0 eV  |          0 ns  |      0     |       anti-su_0      |    -3201   |         su_0         |
| su_0              |         3201 | +1/3 |       0 eV  |          0 ns  |      0     |         su_0         |    3201    |       anti-su_0      |
| anti-su_1         |        -3203 | -1/3 |       0 eV  |          0 ns  |      0     |       anti-su_1      |    -3203   |         su_1         |
| su_1              |         3203 | +1/3 |       0 eV  |          0 ns  |      0     |         su_1         |    3203    |       anti-su_1      |
| Sigma~0           |        -3212 |   0  |   1.193 GeV |      8.895 keV |      0     |      anti-Sigma0     |    -3212   |        Sigma0        |
| Sigma0            |         3212 |   0  |   1.193 GeV |      8.895 keV |      0     |        Sigma0        |    3212    |        Sigma~0       |
| Sigma*~0          |        -3214 |   0  |   1.384 GeV |         36 MeV |      0     |     anti-Sigma*0     |    -3214   |        Sigma*0       |
| Sigma*0           |         3214 |   0  |   1.384 GeV |         36 MeV |      0     |        Sigma*0       |    3214    |       Sigma*~0       |
| Sigma(1775)~0     |        -3216 |   0  |   1.775 GeV |        120 MeV |      0     |   anti-Sigma(1775)0  |      0     |     Sigma(1775)0     |
| Sigma(1775)0      |         3216 |   0  |   1.775 GeV |        120 MeV |      0     |     Sigma(1775)0     |      0     |     Sigma(1775)~0    |
| Sigma(2030)~0     |        -3218 |   0  |    2.03 GeV |        180 MeV |      0     |        unknown       |      0     |     Sigma(2030)0     |
| Sigma(2030)0      |         3218 |   0  |    2.03 GeV |        180 MeV |      0     |        unknown       |      0     |     Sigma(2030)~0    |
| Sigma~-           |        -3222 |  -1  |   1.189 GeV |      2.404 cm  |      0     |      anti-Sigma-     |    -3222   |        Sigma+        |
| Sigma+            |         3222 |   1  |   1.189 GeV |      2.404 cm  |      0     |        Sigma+        |    3222    |        Sigma~-       |
| Sigma*~-          |        -3224 |  -1  |   1.383 GeV |         36 MeV |      0     |     anti-Sigma*-     |    -3224   |        Sigma*+       |
| Sigma*+           |         3224 |   1  |   1.383 GeV |         36 MeV |      0     |        Sigma*+       |    3224    |       Sigma*~-       |
| Sigma(1775)~-     |        -3226 |  -1  |   1.775 GeV |        120 MeV |      0     |        unknown       |      0     |     Sigma(1775)+     |
| Sigma(1775)+      |         3226 |   1  |   1.775 GeV |        120 MeV |      0     |        unknown       |      0     |     Sigma(1775)~-    |
| Sigma(2030)~-     |        -3228 |  -1  |    2.03 GeV |        180 MeV |      0     |        unknown       |      0     |     Sigma(2030)+     |
| Sigma(2030)+      |         3228 |   1  |    2.03 GeV |        180 MeV |      0     |        unknown       |      0     |     Sigma(2030)~-    |
| anti-ss_1         |        -3303 | +2/3 |       0 eV  |          0 ns  |      0     |       anti-ss_1      |    -3303   |         ss_1         |
| ss_1              |         3303 | -2/3 |       0 eV  |          0 ns  |      0     |         ss_1         |    3303    |       anti-ss_1      |
| Xi~+              |        -3312 |   1  |   1.322 GeV |      4.914 cm  |      0     |       anti-Xi+       |    -3312   |          Xi-         |
| Xi-               |         3312 |  -1  |   1.322 GeV |      4.914 cm  |      0     |          Xi-         |    3312    |         Xi~+         |
| Xi*~+             |        -3314 |   1  |   1.535 GeV |        9.9 MeV |      0     |       anti-Xi*+      |    -3314   |         Xi*-         |
| Xi*-              |         3314 |  -1  |   1.535 GeV |        9.9 MeV |      0     |         Xi*-         |    3314    |         Xi*~+        |
| Xi~0              |        -3322 |   0  |   1.315 GeV |      8.694 cm  |      0     |       anti-Xi0       |    -3322   |          Xi0         |
| Xi0               |         3322 |   0  |   1.315 GeV |      8.694 cm  |      0     |          Xi0         |    3322    |         Xi~0         |
| Xi*~0             |        -3324 |   0  |   1.532 GeV |        9.1 MeV |      0     |       anti-Xi*0      |    -3324   |         Xi*0         |
| Xi*0              |         3324 |   0  |   1.532 GeV |        9.1 MeV |      0     |         Xi*0         |    3324    |         Xi*~0        |
| Omega~+           |        -3334 |   1  |   1.672 GeV |      2.461 cm  |      0     |      anti-Omega+     |    -3334   |        Omega-        |
| Omega-            |         3334 |  -1  |   1.672 GeV |      2.461 cm  |      0     |        Omega-        |    3334    |        Omega~+       |
| anti-cd_0         |        -4101 | -1/3 |       0 eV  |          0 ns  |      0     |       anti-cd_0      |    -4101   |         cd_0         |
| cd_0              |         4101 | +1/3 |       0 eV  |          0 ns  |      0     |         cd_0         |    4101    |       anti-cd_0      |
| anti-cd_1         |        -4103 | -1/3 |       0 eV  |          0 ns  |      0     |       anti-cd_1      |    -4103   |         cd_1         |
| cd_1              |         4103 | +1/3 |       0 eV  |          0 ns  |      0     |         cd_1         |    4103    |       anti-cd_1      |
| Sigma_c~0         |        -4112 |   0  |   2.454 GeV |       2.16 MeV |      0     |     anti-Sigma_c0    |    -4112   |       Sigma_c0       |
| Sigma_c0          |         4112 |   0  |   2.454 GeV |       2.16 MeV |      0     |       Sigma_c0       |    4112    |       Sigma_c~0      |
| Sigma_c*~0        |        -4114 |   0  |   2.519 GeV |       14.5 MeV |      0     |    anti-Sigma_c*0    |    -4114   |       Sigma_c*0      |
| Sigma_c*0         |         4114 |   0  |   2.519 GeV |       14.5 MeV |      0     |       Sigma_c*0      |    4114    |      Sigma_c*~0      |
| Lambda_c~-        |        -4122 |  -1  |   2.286 GeV |      59.96 um  |      0     |    anti-Lambda_c-    |    -4122   |       Lambda_c+      |
| Lambda_c+         |         4122 |   1  |   2.286 GeV |      59.96 um  |      0     |       Lambda_c+      |    4122    |      Lambda_c~-      |
| Xi_c~0            |        -4132 |   0  |   2.471 GeV |      33.58 um  |      0     |      anti-Xi_c0      |    -4132   |         Xi_c0        |
| Xi_c0             |         4132 |   0  |   2.471 GeV |      33.58 um  |      0     |         Xi_c0        |    4132    |        Xi_c~0        |
| anti-cu_0         |        -4201 | -1.3 |       0 eV  |          0 ns  |      0     |       anti-cu_0      |    -4201   |         cu_0         |
| cu_0              |         4201 |  1.3 |       0 eV  |          0 ns  |      0     |         cu_0         |    4201    |       anti-cu_0      |
| anti-cu_1         |        -4203 | -1.3 |       0 eV  |          0 ns  |      0     |       anti-cu_1      |    -4203   |         cu_1         |
| cu_1              |         4203 |  1.3 |       0 eV  |          0 ns  |      0     |         cu_1         |    4203    |       anti-cu_1      |
| Sigma_c~-         |        -4212 |  -1  |   2.453 GeV |      1.646 MeV |      0     |     anti-Sigma_c-    |    -4212   |       Sigma_c+       |
| Sigma_c+          |         4212 |   1  |   2.453 GeV |      1.646 MeV |      0     |       Sigma_c+       |    4212    |       Sigma_c~-      |
| Sigma_c*~-        |        -4214 |  -1  |   2.518 GeV |          2 MeV |      0     |    anti-Sigma_c*-    |    -4214   |       Sigma_c*+      |
| Sigma_c*+         |         4214 |   1  |   2.518 GeV |          2 MeV |      0     |       Sigma_c*+      |    4214    |      Sigma_c*~-      |
| Sigma_c~--        |        -4222 |  -2  |   2.454 GeV |       2.26 MeV |      0     |    anti-Sigma_c--    |    -4222   |       Sigma_c++      |
| Sigma_c++         |         4222 |   2  |   2.454 GeV |       2.26 MeV |      0     |       Sigma_c++      |    4222    |      Sigma_c~--      |
| Sigma_c*~--       |        -4224 |  -2  |   2.518 GeV |       14.9 MeV |      0     |    anti-Sigma_c*--   |    -4224   |      Sigma_c*++      |
| Sigma_c*++        |         4224 |   2  |   2.518 GeV |       14.9 MeV |      0     |      Sigma_c*++      |    4224    |      Sigma_c*~--     |
| Xi_c~-            |        -4232 |  -1  |   2.468 GeV |      132.5 um  |      0     |      anti-Xi_c-      |    -4232   |         Xi_c+        |
| Xi_c+             |         4232 |   1  |   2.468 GeV |      132.5 um  |      0     |         Xi_c+        |    4232    |        Xi_c~-        |
| anti-cs_0         |        -4301 | -1/3 |       0 eV  |          0 ns  |      0     |       anti-cs_0      |    -4301   |         cs_0         |
| cs_0              |         4301 | +1/3 |       0 eV  |          0 ns  |      0     |         cs_0         |    4301    |       anti-cs_0      |
| anti-cs_1         |        -4303 | -1/3 |       0 eV  |          0 ns  |      0     |       anti-cs_1      |    -4303   |         cs_1         |
| cs_1              |         4303 | +1/3 |       0 eV  |          0 ns  |      0     |         cs_1         |    4303    |       anti-cs_1      |
| Xi'_c~0           |        -4312 |   0  |   2.578 GeV |          0 ns  |      0     |      anti-Xi'_c0     |    -4312   |        Xi'_c0        |
| Xi'_c0            |         4312 |   0  |   2.578 GeV |          0 ns  |      0     |        Xi'_c0        |    4312    |        Xi'_c~0       |
| Xi_c*~0           |        -4314 |   0  |   2.646 GeV |          0 ns  |      0     |      anti-Xi_c*0     |    -4314   |        Xi_c*0        |
| Xi_c*0            |         4314 |   0  |   2.646 GeV |          0 ns  |      0     |        Xi_c*0        |    4314    |        Xi_c*~0       |
| Xi'_c~-           |        -4322 |  -1  |   2.576 GeV |          0 ns  |      0     |      anti-Xi'_c-     |    -4322   |        Xi'_c+        |
| Xi'_c+            |         4322 |   1  |   2.576 GeV |          0 ns  |      0     |        Xi'_c+        |    4322    |        Xi'_c~-       |
| Xi_c*~-           |        -4324 |  -1  |   2.646 GeV |          0 ns  |      0     |      anti-Xi_c*-     |    -4324   |        Xi_c*+        |
| Xi_c*+            |         4324 |   1  |   2.646 GeV |          0 ns  |      0     |        Xi_c*+        |    4324    |        Xi_c*~-       |
| Omega_c~0         |        -4332 |   0  |   2.695 GeV |      20.69 um  |      0     |     anti-Omega_c0    |    -4332   |       Omega_c0       |
| Omega_c0          |         4332 |   0  |   2.695 GeV |      20.69 um  |      0     |       Omega_c0       |    4332    |       Omega_c~0      |
| Omega_c*~0        |        -4334 |   0  |   2.766 GeV |          0 ns  |      0     |    anti-Omega_c*0    |    -4334   |       Omega_c*0      |
| Omega_c*0         |         4334 |   0  |   2.766 GeV |          0 ns  |      0     |       Omega_c*0      |    4334    |      Omega_c*~0      |
| anti-cc_1         |        -4403 | -1.3 |       0 eV  |          0 ns  |      0     |       anti-cc_1      |    -4403   |         cc_1         |
| cc_1              |         4403 |  1.3 |       0 eV  |          0 ns  |      0     |         cc_1         |    4403    |       anti-cc_1      |
| Xi_cc~-           |        -4412 |  -1  |   3.598 GeV |        100 um  |      0     |      anti-Xi_cc-     |    -4412   |        Xi_cc+        |
| Xi_cc+            |         4412 |   1  |   3.598 GeV |        100 um  |      0     |        Xi_cc+        |    4412    |        Xi_cc~-       |
| Xi*_cc~-          |        -4414 |  -1  |   3.656 GeV |          0 ns  |      0     |     anti-Xi_cc*-     |    -4414   |        Xi*_cc+       |
| Xi*_cc+           |         4414 |   1  |   3.656 GeV |          0 ns  |      0     |        Xi_cc*+       |    4414    |       Xi*_cc~-       |
| Xi_cc~--          |        -4422 |  -2  |   3.598 GeV |        100 um  |      0     |     anti-Xi_cc--     |    -4422   |        Xi_cc++       |
| Xi_cc++           |         4422 |   2  |   3.598 GeV |        100 um  |      0     |        Xi_cc++       |    4422    |       Xi_cc~--       |
| Xi*_cc~--         |        -4424 |  -2  |   3.656 GeV |          0 ns  |      0     |     anti-Xi_cc*--    |    -4424   |       Xi*_cc++       |
| Xi*_cc++          |         4424 |   2  |   3.656 GeV |          0 ns  |      0     |       Xi_cc*++       |    4424    |       Xi*_cc~--      |
| Omega_cc~-        |        -4432 |  -1  |   3.787 GeV |        100 um  |      0     |    anti-Omega_cc-    |    -4432   |       Omega_cc+      |
| Omega_cc+         |         4432 |   1  |   3.787 GeV |        100 um  |      0     |       Omega_cc+      |    4432    |      Omega_cc~-      |
| Omega*_cc~-       |        -4434 |  -1  |   3.825 GeV |          0 ns  |      0     |    anti-Omega_cc*-   |    -4434   |      Omega*_cc+      |
| Omega*_cc+        |         4434 |   1  |   3.825 GeV |          0 ns  |      0     |      Omega_cc*+      |    4434    |      Omega*_cc~-     |
| Omega*_ccc~--     |        -4444 |  -2  |   4.916 GeV |          0 ns  |      0     |        unknown       |    -4444   |     Omega*_ccc++     |
| Omega*_ccc++      |         4444 |   2  |   4.916 GeV |          0 ns  |      0     |        unknown       |    4444    |     Omega*_ccc~--    |
| anti-bd_0         |        -5101 | +2/3 |       0 eV  |          0 ns  |      0     |       anti-bd_0      |    -5101   |         bd_0         |
| bd_0              |         5101 | -2/3 |       0 eV  |          0 ns  |      0     |         bd_0         |    5101    |       anti-bd_0      |
| anti-bd_1         |        -5103 | +2/3 |       0 eV  |          0 ns  |      0     |       anti-bd_1      |    -5103   |         bd_1         |
| bd_1              |         5103 | -2/3 |       0 eV  |          0 ns  |      0     |         bd_1         |    5103    |       anti-bd_1      |
| Sigma_b~+         |        -5112 |   1  |   5.816 GeV |        4.9 MeV |      0     |     anti-Sigma_b+    |    -5112   |       Sigma_b-       |
| Sigma_b-          |         5112 |  -1  |   5.816 GeV |        4.9 MeV |      0     |       Sigma_b-       |    5112    |       Sigma_b~+      |
| Sigma_b*~+        |        -5114 |   1  |   5.835 GeV |        7.5 MeV |      0     |    anti-Sigma_b*+    |    -5114   |       Sigma_b*-      |
| Sigma_b*-         |         5114 |  -1  |   5.835 GeV |        7.5 MeV |      0     |       Sigma_b*-      |    5114    |      Sigma_b*~+      |
| Lambda_b~0        |        -5122 |   0  |    5.62 GeV |        435 um  |      0     |    anti-Lambda_b0    |    -5122   |       Lambda_b0      |
| Lambda_b0         |         5122 |   0  |    5.62 GeV |        435 um  |      0     |       Lambda_b0      |    5122    |      Lambda_b~0      |
| Lambda_b(5920)~0  |        -5124 |   0  |    5.92 GeV |      500.2 keV |      0     | anti-Lambda_b(5920)0 |    -5124   |    Lambda_b(5920)0   |
| Lambda_b(5920)0   |         5124 |   0  |    5.92 GeV |      500.2 keV |      0     |    Lambda_b(5920)0   |    5124    |   Lambda_b(5920)~0   |
| Xi_b~+            |        -5132 |   1  |   5.795 GeV |      467.7 um  |      0     |      anti-Xi_b+      |    -5132   |         Xi_b-        |
| Xi_b-             |         5132 |  -1  |   5.795 GeV |      467.7 um  |      0     |         Xi_b-        |    5132    |        Xi_b~+        |
| Xi_bc~0           |        -5142 |   0  |     6.9 GeV |      149.9 um  |      0     |      anti-Xi_bc0     |    -5142   |        Xi_bc0        |
| Xi_bc0            |         5142 |   0  |     6.9 GeV |      149.9 um  |      0     |        Xi_bc0        |    5142    |        Xi_bc~0       |
| anti-bu_0         |        -5201 | -1/3 |       0 eV  |          0 ns  |      0     |       anti-bu_0      |    -5201   |         bu_0         |
| bu_0              |         5201 | +1/3 |       0 eV  |          0 ns  |      0     |         bu_0         |    5201    |       anti-bu_0      |
| anti-bu_1         |        -5203 | -1/3 |       0 eV  |          0 ns  |      0     |       anti-bu_1      |    -5203   |         bu_1         |
| bu_1              |         5203 | +1/3 |       0 eV  |          0 ns  |      0     |         bu_1         |    5203    |       anti-bu_1      |
| Sigma_b~0         |        -5212 |   0  |   5.808 GeV |      6.582 keV |      0     |     anti-Sigma_b0    |    -5212   |       Sigma_b0       |
| Sigma_b0          |         5212 |   0  |   5.808 GeV |      6.582 keV |      0     |       Sigma_b0       |    5212    |       Sigma_b~0      |
| Sigma_b*~0        |        -5214 |   0  |   5.829 GeV |          0 ns  |      0     |    anti-Sigma_b*0    |    -5214   |       Sigma_b*0      |
| Sigma_b*0         |         5214 |   0  |   5.829 GeV |          0 ns  |      0     |       Sigma_b*0      |    5214    |      Sigma_b*~0      |
| Sigma_b~-         |        -5222 |  -1  |   5.811 GeV |        9.7 MeV |      0     |     anti-Sigma_b-    |    -5222   |       Sigma_b+       |
| Sigma_b+          |         5222 |   1  |   5.811 GeV |        9.7 MeV |      0     |       Sigma_b+       |    5222    |       Sigma_b~-      |
| Sigma_b*~-        |        -5224 |  -1  |   5.832 GeV |       11.5 MeV |      0     |    anti-Sigma_b*-    |    -5224   |       Sigma_b*+      |
| Sigma_b*+         |         5224 |   1  |   5.832 GeV |       11.5 MeV |      0     |       Sigma_b*+      |    5224    |      Sigma_b*~-      |
| Xi_b~0            |        -5232 |   0  |   5.793 GeV |      446.7 um  |      0     |      anti-Xi_b0      |    -5232   |         Xi_b0        |
| Xi_b0             |         5232 |   0  |   5.793 GeV |      446.7 um  |      0     |         Xi_b0        |    5232    |        Xi_b~0        |
| Xi_bc~-           |        -5242 |  -1  |     6.9 GeV |      149.9 um  |      0     |      anti-Xi_bc-     |    -5242   |        Xi_bc+        |
| Xi_bc+            |         5242 |   1  |     6.9 GeV |      149.9 um  |      0     |        Xi_bc+        |    5242    |        Xi_bc~-       |
| anti-bs_0         |        -5301 | +2/3 |       0 eV  |          0 ns  |      0     |       anti-bs_0      |    -5301   |         bs_0         |
| bs_0              |         5301 | -2/3 |       0 eV  |          0 ns  |      0     |         bs_0         |    5301    |       anti-bs_0      |
| anti-bs_1         |        -5303 | +2/3 |       0 eV  |          0 ns  |      0     |       anti-bs_1      |    -5303   |         bs_1         |
| bs_1              |         5303 | -2/3 |       0 eV  |          0 ns  |      0     |         bs_1         |    5303    |       anti-bs_1      |
| Xi'_b~+           |        -5312 |   1  |    5.96 GeV |      6.582 keV |      0     |      anti-Xi'_b+     |    -5312   |        Xi'_b-        |
| Xi'_b-            |         5312 |  -1  |    5.96 GeV |      6.582 keV |      0     |        Xi'_b-        |    5312    |        Xi'_b~+       |
| Xi_b*~+           |        -5314 |   1  |    5.97 GeV |          0 ns  |      0     |      anti-Xi_b*+     |    -5314   |        Xi_b*-        |
| Xi_b*-            |         5314 |  -1  |    5.97 GeV |          0 ns  |      0     |        Xi_b*-        |    5314    |        Xi_b*~+       |
| Xi'_b~0           |        -5322 |   0  |    5.96 GeV |      6.582 keV |      0     |      anti-Xi'_b0     |    -5322   |        Xi'_b0        |
| Xi'_b0            |         5322 |   0  |    5.96 GeV |      6.582 keV |      0     |        Xi'_b0        |    5322    |        Xi'_b~0       |
| Xi_b*~0           |        -5324 |   0  |    5.97 GeV |          0 ns  |      0     |      anti-Xi_b*0     |    -5324   |        Xi_b*0        |
| Xi_b*0            |         5324 |   0  |    5.97 GeV |          0 ns  |      0     |        Xi_b*0        |    5324    |        Xi_b*~0       |
| Omega_b~+         |        -5332 |   1  |   6.049 GeV |      329.8 um  |      0     |     anti-Omega_b+    |    -5332   |       Omega_b-       |
| Omega_b-          |         5332 |  -1  |   6.049 GeV |      329.8 um  |      0     |       Omega_b-       |    5332    |       Omega_b~+      |
| Omega_b*~+        |        -5334 |   1  |    6.13 GeV |          0 ns  |      0     |    anti-Omega_b*+    |    -5334   |       Omega_b*-      |
| Omega_b*-         |         5334 |  -1  |    6.13 GeV |          0 ns  |      0     |       Omega_b*-      |    5334    |      Omega_b*~+      |
| Omega_bc~0        |        -5342 |   0  |   7.191 GeV |      149.9 um  |      0     |        unknown       |    -5342   |       Omega_bc0      |
| Omega_bc0         |         5342 |   0  |   7.191 GeV |      149.9 um  |      0     |        unknown       |    5342    |      Omega_bc~0      |
| anti-bc_0         |        -5401 | -1/3 |       0 eV  |          0 ns  |      0     |       anti-bc_0      |    -5401   |         bc_0         |
| bc_0              |         5401 | +1/3 |       0 eV  |          0 ns  |      0     |         bc_0         |    5401    |       anti-bc_0      |
| anti-bc_1         |        -5403 | -1/3 |       0 eV  |          0 ns  |      0     |       anti-bc_1      |    -5403   |         bc_1         |
| bc_1              |         5403 | +1/3 |       0 eV  |          0 ns  |      0     |         bc_1         |    5403    |       anti-bc_1      |
| Xi'_bc~0          |        -5412 |   0  |   7.037 GeV |          0 ns  |      0     |        unknown       |    -5412   |        Xi'_bc0       |
| Xi'_bc0           |         5412 |   0  |   7.037 GeV |          0 ns  |      0     |        unknown       |    5412    |       Xi'_bc~0       |
| Xi*_bc~0          |        -5414 |   0  |   7.048 GeV |          0 ns  |      0     |        unknown       |    -5414   |        Xi*_bc0       |
| Xi*_bc0           |         5414 |   0  |   7.048 GeV |          0 ns  |      0     |        unknown       |    5414    |       Xi*_bc~0       |
| Xi'_bc~-          |        -5422 |  -1  |   7.037 GeV |          0 ns  |      0     |        unknown       |    -5422   |        Xi'_bc+       |
| Xi'_bc+           |         5422 |   1  |   7.037 GeV |          0 ns  |      0     |        unknown       |    5422    |       Xi'_bc~-       |
| Xi*_bc~-          |        -5424 |  -1  |   7.048 GeV |          0 ns  |      0     |        unknown       |    -5424   |        Xi*_bc+       |
| Xi*_bc+           |         5424 |   1  |   7.048 GeV |          0 ns  |      0     |        unknown       |    5424    |       Xi*_bc~-       |
| Omega'_bc~0       |        -5432 |   0  |   7.211 GeV |          0 ns  |      0     |        unknown       |    -5432   |      Omega'_bc0      |
| Omega'_bc0        |         5432 |   0  |   7.211 GeV |          0 ns  |      0     |        unknown       |    5432    |      Omega'_bc~0     |
| Omega*_bc~0       |        -5434 |   0  |   7.219 GeV |          0 ns  |      0     |        unknown       |    -5434   |      Omega*_bc0      |
| Omega*_bc0        |         5434 |   0  |   7.219 GeV |          0 ns  |      0     |        unknown       |    5434    |      Omega*_bc~0     |
| Omega_bcc~-       |        -5442 |  -1  |   8.309 GeV |        387 um  |      0     |        unknown       |    -5442   |      Omega_bcc+      |
| Omega_bcc+        |         5442 |   1  |   8.309 GeV |        387 um  |      0     |        unknown       |    5442    |      Omega_bcc~-     |
| Omega*_bcc~-      |        -5444 |  -1  |   8.313 GeV |          0 ns  |      0     |        unknown       |    -5444   |      Omega*_bcc+     |
| Omega*_bcc+       |         5444 |   1  |   8.313 GeV |          0 ns  |      0     |        unknown       |    5444    |     Omega*_bcc~-     |
| anti-bb_1         |        -5503 | +2/3 |       0 eV  |          0 ns  |      0     |       anti-bb_1      |    -5503   |         bb_1         |
| bb_1              |         5503 | -2/3 |       0 eV  |          0 ns  |      0     |         bb_1         |    5503    |       anti-bb_1      |
| Xi_bb~+           |        -5512 |   1  |   10.42 GeV |        387 um  |      0     |        unknown       |    -5512   |        Xi_bb-        |
| Xi_bb-            |         5512 |  -1  |   10.42 GeV |        387 um  |      0     |        unknown       |    5512    |        Xi_bb~+       |
| Xi*_bb~+          |        -5514 |   1  |   10.44 GeV |          0 ns  |      0     |        unknown       |    -5514   |        Xi*_bb-       |
| Xi*_bb-           |         5514 |  -1  |   10.44 GeV |          0 ns  |      0     |        unknown       |    5514    |       Xi*_bb~+       |
| Xi_bb~0           |        -5522 |   0  |   10.42 GeV |        387 um  |      0     |        unknown       |    -5522   |        Xi_bb0        |
| Xi_bb0            |         5522 |   0  |   10.42 GeV |        387 um  |      0     |        unknown       |    5522    |        Xi_bb~0       |
| Xi*_bb~0          |        -5524 |   0  |   10.44 GeV |          0 ns  |      0     |        unknown       |    -5524   |        Xi*_bb0       |
| Xi*_bb0           |         5524 |   0  |   10.44 GeV |          0 ns  |      0     |        unknown       |    5524    |       Xi*_bb~0       |
| Omega_bb~+        |        -5532 |   1  |    10.6 GeV |        387 um  |      0     |        unknown       |    -5532   |       Omega_bb-      |
| Omega_bb-         |         5532 |  -1  |    10.6 GeV |        387 um  |      0     |        unknown       |    5532    |      Omega_bb~+      |
| Omega*_bb~+       |        -5534 |   1  |   10.61 GeV |          0 ns  |      0     |        unknown       |    -5534   |      Omega*_bb-      |
| Omega*_bb-        |         5534 |  -1  |   10.61 GeV |          0 ns  |      0     |        unknown       |    5534    |      Omega*_bb~+     |
| Omega_bbc~0       |        -5542 |   0  |   11.71 GeV |        387 um  |      0     |        unknown       |    -5542   |      Omega_bbc0      |
| Omega_bbc0        |         5542 |   0  |   11.71 GeV |        387 um  |      0     |        unknown       |    5542    |      Omega_bbc~0     |
| Omega*_bbc~0      |        -5544 |   0  |   11.71 GeV |          0 ns  |      0     |        unknown       |    -5544   |      Omega*_bbc0     |
| Omega*_bbc0       |         5544 |   0  |   11.71 GeV |          0 ns  |      0     |        unknown       |    5544    |     Omega*_bbc~0     |
| Omega*_bbb~+      |        -5554 |   1  |   15.11 GeV |          0 ns  |      0     |        unknown       |    -5554   |      Omega*_bbb-     |
| Omega*_bbb-       |         5554 |  -1  |   15.11 GeV |          0 ns  |      0     |        unknown       |    5554    |     Omega*_bbb~+     |
| vpho              |        10022 |   0  |       0 eV  |          0 ns  |      0     |         vpho         |      0     |        self-cc       |
| a_0(1450)0        |        10111 |   0  |   1.474 GeV |        265 MeV |      0     |        unknown       |      0     |        self-cc       |
| b_1(1235)0        |        10113 |   0  |    1.23 GeV |        142 MeV |      0     |         b_10         |    10113   |        self-cc       |
| pi_2(1670)0       |        10115 |   0  |   1.672 GeV |        260 MeV |      0     |        unknown       |      0     |        self-cc       |
| a_0(1450)-        |       -10211 |  -1  |   1.474 GeV |        265 MeV |      0     |        unknown       |      0     |      a_0(1450)+      |
| a_0(1450)+        |        10211 |   1  |   1.474 GeV |        265 MeV |      0     |        unknown       |      0     |      a_0(1450)-      |
| b_1(1235)-        |       -10213 |  -1  |    1.23 GeV |        142 MeV |      0     |         b_1-         |   -10213   |      b_1(1235)+      |
| b_1(1235)+        |        10213 |   1  |    1.23 GeV |        142 MeV |      0     |         b_1+         |    10213   |      b_1(1235)-      |
| pi_2(1670)-       |       -10215 |  -1  |   1.672 GeV |        260 MeV |      0     |        unknown       |      0     |      pi_2(1670)+     |
| pi_2(1670)+       |        10215 |   1  |   1.672 GeV |        260 MeV |      0     |        unknown       |      0     |      pi_2(1670)-     |
